Region of UK,Area of Residence,Year,Visits by region of UK and area of residence,Spendings by region of UK and area of residence,Nights Spent by region of UK and area of residence
Scotland,European Union,2020 Q4,,,
Scotland,EU15,2020 Q4,,,
Scotland,Other European Union,2020 Q4,,,
Scotland,Other Countries,2020 Q4,,,
Scotland,Total World,2020 Q4,,,
Wales,North America,2020 Q4,,,
Wales,Europe,2020 Q4,,,
Wales,European Union,2020 Q4,,,
Wales,EU15,2020 Q4,,,
Wales,Other European Union,2020 Q4,,,
Wales,Other Countries,2020 Q4,,,
Wales,Total World,2020 Q4,,,
All Regions,North America,2020 Q4,,,
All Regions,Europe,2020 Q4,,,
All Regions,European Union,2020 Q4,,,
All Regions,EU15,2020 Q4,,,
All Regions,Other European Union,2020 Q4,,,
All Regions,Other Countries,2020 Q4,,,
All Regions,Total World,2020 Q4,1386000.0,611.0,
North East,North America,2021 Q1,0.0,0.0,3000.0
North East,Europe,2021 Q1,2000.0,2.0,154000.0
North East,European Union,2021 Q1,2000.0,2.0,154000.0
North East,EU15,2021 Q1,2000.0,1.0,61000.0
North East,Other European Union,2021 Q1,0.0,2.0,94000.0
North East,Other Countries,2021 Q1,1000.0,1.0,94000.0
North East,Total World,2021 Q1,4000.0,4.0,251000.0
North West,North America,2021 Q1,1000.0,2.0,82000.0
North West,Europe,2021 Q1,15000.0,11.0,531000.0
North West,European Union,2021 Q1,14000.0,10.0,501000.0
North West,EU15,2021 Q1,9000.0,8.0,356000.0
North West,Other European Union,2021 Q1,5000.0,2.0,145000.0
North West,Other Countries,2021 Q1,5000.0,15.0,538000.0
North West,Total World,2021 Q1,22000.0,27.0,1151000.0
Yorkshire and the Humber,North America,2021 Q1,0.0,0.0,3000.0
Yorkshire and the Humber,Europe,2021 Q1,6000.0,4.0,258000.0
Yorkshire and the Humber,European Union,2021 Q1,6000.0,3.0,231000.0
Yorkshire and the Humber,EU15,2021 Q1,3000.0,2.0,69000.0
Yorkshire and the Humber,Other European Union,2021 Q1,3000.0,2.0,162000.0
Yorkshire and the Humber,Other Countries,2021 Q1,2000.0,3.0,104000.0
Yorkshire and the Humber,Total World,2021 Q1,8000.0,6.0,365000.0
East Midlands,North America,2021 Q1,1000.0,2.0,64000.0
East Midlands,Europe,2021 Q1,17000.0,9.0,576000.0
East Midlands,European Union,2021 Q1,16000.0,9.0,567000.0
East Midlands,EU15,2021 Q1,13000.0,3.0,238000.0
East Midlands,Other European Union,2021 Q1,4000.0,5.0,329000.0
East Midlands,Other Countries,2021 Q1,2000.0,2.0,153000.0
East Midlands,Total World,2021 Q1,20000.0,13.0,794000.0
West Midlands,North America,2021 Q1,2000.0,3.0,118000.0
West Midlands,Europe,2021 Q1,15000.0,13.0,647000.0
West Midlands,European Union,2021 Q1,14000.0,12.0,627000.0
West Midlands,EU15,2021 Q1,11000.0,11.0,493000.0
West Midlands,Other European Union,2021 Q1,3000.0,1.0,133000.0
West Midlands,Other Countries,2021 Q1,4000.0,6.0,338000.0
West Midlands,Total World,2021 Q1,21000.0,21.0,1103000.0
East of England,North America,2021 Q1,8000.0,7.0,484000.0
East of England,Europe,2021 Q1,24000.0,5.0,580000.0
East of England,European Union,2021 Q1,24000.0,5.0,556000.0
East of England,EU15,2021 Q1,17000.0,3.0,326000.0
East of England,Other European Union,2021 Q1,6000.0,1.0,229000.0
East of England,Other Countries,2021 Q1,4000.0,10.0,324000.0
East of England,Total World,2021 Q1,37000.0,23.0,1387000.0
London,North America,2021 Q1,14000.0,10.0,382000.0
London,Europe,2021 Q1,56000.0,72.0,2351000.0
London,European Union,2021 Q1,49000.0,60.0,2002000.0
London,EU15,2021 Q1,37000.0,38.0,1327000.0
London,Other European Union,2021 Q1,12000.0,22.0,675000.0
London,Other Countries,2021 Q1,24000.0,49.0,1410000.0
London,Total World,2021 Q1,93000.0,132.0,4143000.0
South East,North America,2021 Q1,3000.0,3.0,106000.0
South East,Europe,2021 Q1,27000.0,16.0,872000.0
South East,European Union,2021 Q1,26000.0,14.0,827000.0
South East,EU15,2021 Q1,23000.0,11.0,645000.0
South East,Other European Union,2021 Q1,3000.0,3.0,182000.0
South East,Other Countries,2021 Q1,8000.0,15.0,622000.0
South East,Total World,2021 Q1,38000.0,34.0,1600000.0
South West,North America,2021 Q1,1000.0,1.0,38000.0
South West,Europe,2021 Q1,16000.0,3.0,297000.0
